epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.4189,2.50255,127.478,2.07792,0.02757,0.06667,0.01102,0.00423,2.28698,161.108,1.99255,0.00056,0.00056,0.00056
2,35.0807,3.42405,50.2717,3.73312,0,0,0,0,nan,nan,nan,0.00113839,0.00113839,0.00113839
3,38.5145,3.67023,5.41361,3.72309,0,0,0,0,nan,nan,nan,0.00171513,0.00171513,0.00171513
4,41.6947,3.18386,3.54303,3.28383,0,0,0,0,nan,nan,nan,0.00199151,0.00199151,0.00199151
5,44.9407,3.62289,3.51961,3.35164,0,0,0,0,nan,nan,nan,0.00198869,0.00198869,0.00198869
6,48.1793,3.51116,3.55937,3.26965,0,0,0,0,nan,nan,nan,0.00198586,0.00198586,0.00198586
7,51.724,3.1829,2.6748,2.82939,0,0,0,0,nan,nan,nan,0.00198303,0.00198303,0.00198303
8,54.9236,3.22509,3.29835,3.00573,0.02593,0.13333,0.01194,0.00304,3.18261,12.9615,3.2669,0.0019802,0.0019802,0.0019802
9,58.2483,2.9827,2.67984,2.72827,0.01282,0.2,0.01307,0.00242,3.26212,389.891,3.7287,0.00197737,0.00197737,0.00197737
10,61.518,3.24239,2.94139,3.09838,0.07742,0.2,0.14476,0.02651,3.36075,63.6417,3.40046,0.00197454,0.00197454,0.00197454
11,65.1145,3.02368,2.49453,2.88493,0,0,0,0,nan,nan,nan,0.00197171,0.00197171,0.00197171
12,68.3543,2.93152,2.68531,2.84755,0,0,0,0,nan,nan,nan,0.00196889,0.00196889,0.00196889
13,71.6646,2.94081,2.6667,2.9683,0.00027,0.4,0.00016,2e-05,nan,nan,nan,0.00196606,0.00196606,0.00196606
14,74.8676,2.64896,2.60248,2.7053,0.01366,0.13333,0.03257,0.00869,2.87523,3.70654,3.23274,0.00196323,0.00196323,0.00196323
15,78.1135,2.69269,2.67769,2.83268,0.8028,0.13333,0.16216,0.05576,2.48065,3.24932,3.1288,0.0019604,0.0019604,0.0019604
16,81.4443,2.66944,2.62226,2.84058,0.2459,0.06667,0.08896,0.02584,3.29897,5.66421,3.33566,0.00195757,0.00195757,0.00195757
17,84.7087,3.07445,2.86372,3.21463,0.19616,0.06667,0.08554,0.03317,2.63202,4.8248,3.14877,0.00195474,0.00195474,0.00195474
18,87.9535,2.84003,2.75335,2.78749,0.21622,0.2,0.13281,0.04765,2.26324,3.41678,3.07725,0.00195191,0.00195191,0.00195191
19,91.1958,2.60317,2.44252,2.58879,0.5147,0.13333,0.15094,0.03952,2.65776,4.46297,2.96997,0.00194909,0.00194909,0.00194909
20,94.4759,2.9144,2.425,2.76585,0.40125,0.13333,0.14982,0.05491,2.98815,3.75375,3.02401,0.00194626,0.00194626,0.00194626
21,97.7189,2.74432,2.45433,2.67199,0.31551,0.13333,0.10122,0.04662,2.64457,31.4459,2.87818,0.00194343,0.00194343,0.00194343
22,100.927,2.27868,2.35854,2.31217,0.64606,0.48799,0.59407,0.14941,2.43595,1.88805,2.81634,0.0019406,0.0019406,0.0019406
23,104.322,2.6493,2.53509,2.70177,0.65434,0.33333,0.42318,0.14264,2.24262,3.20456,2.93247,0.00193777,0.00193777,0.00193777
24,107.548,2.52771,2.55043,2.58175,0.06588,0.73333,0.21243,0.06637,2.88487,2.88633,3.2813,0.00193494,0.00193494,0.00193494
25,110.78,2.76601,2.63891,2.86579,0.02147,0.93333,0.25994,0.06237,2.78158,2.58254,3.45683,0.00193211,0.00193211,0.00193211
26,114.035,2.67831,2.38071,2.73464,0.37909,0.33333,0.34455,0.08392,2.67889,7.45353,3.20029,0.00192929,0.00192929,0.00192929
27,117.295,2.57866,2.61285,2.65001,0.35226,0.46667,0.39579,0.13923,2.36719,2.45878,3.01046,0.00192646,0.00192646,0.00192646
