epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.4327,3.54575,259.97,2.74766,0.00098,0.04,8e-05,4e-05,4.1547,164.288,3.45644,0.00062,0.00062,0.00062
2,25.9681,3.35538,13.9148,3.52189,0,0,0,0,nan,nan,nan,0.00125751,0.00125751,0.00125751
3,29.3619,3.44328,4.64864,3.04043,0,0,0,0,nan,nan,nan,0.00189248,0.00189248,0.00189248
4,32.7925,3.24798,3.0648,2.73055,0,0,0,0,nan,nan,nan,0.00198812,0.00198812,0.00198812
5,36.2752,3.2543,2.70446,2.69494,0,0,0,0,nan,nan,nan,0.00198416,0.00198416,0.00198416
6,39.903,3.21217,2.60537,2.64243,0,0,0,0,5.70965,12615.5,33.7507,0.0019802,0.0019802,0.0019802
7,43.2478,2.91739,2.45903,2.4819,0.27338,0.32,0.22738,0.05522,2.97214,4.0035,3.1082,0.00197624,0.00197624,0.00197624
8,46.7515,2.78329,2.279,2.22805,0.25523,0.34299,0.21038,0.04587,2.94739,2.28968,3.3846,0.00197228,0.00197228,0.00197228
9,50.155,2.82464,2.63395,2.2302,0.15306,0.6,0.14502,0.04634,2.49882,252.372,3.06217,0.00196832,0.00196832,0.00196832
10,53.5631,2.77975,2.169,2.31007,0.25819,0.33442,0.25981,0.06114,2.8299,6.93604,3.08614,0.00196436,0.00196436,0.00196436
11,57.0751,2.70946,2.12736,2.2378,0.15309,0.2,0.10408,0.02716,2.80513,2.55443,2.67734,0.0019604,0.0019604,0.0019604
12,60.5323,2.59888,2.04124,2.36334,0.1841,0.44,0.26906,0.07353,2.84057,65.8324,2.74973,0.00195644,0.00195644,0.00195644
13,64.1816,2.86425,2.2536,2.36256,0.15543,0.55217,0.20005,0.0685,2.38564,7.62322,2.34827,0.00195248,0.00195248,0.00195248
14,67.632,2.75128,2.27337,2.34625,0.18888,0.36,0.17964,0.048,2.71712,13.3316,2.78556,0.00194852,0.00194852,0.00194852
