epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.3466,2.28732,15.3002,1.29666,0.00069,0.6,0.00101,0.0003,2.92751,12.1298,1.60439,0.00026,0.00026,0.00026
2,35.0321,3.09514,12.4101,1.47119,0,0,0,0,2.77459,872.522,1.93752,0.000538218,0.000538218,0.000538218
3,36.1635,2.47067,12.2933,1.27572,0,0,0,0,nan,nan,nan,0.000814588,0.000814588,0.000814588
4,37.3407,2.50492,5.02741,1.28641,0,0,0,0,nan,nan,nan,0.00108911,0.00108911,0.00108911
5,38.3976,2.7416,3.73817,1.5266,0,0,0,0,nan,nan,nan,0.00136178,0.00136178,0.00136178
6,39.4868,2.67411,3.21976,1.54434,0,0,0,0,nan,nan,nan,0.00163261,0.00163261,0.00163261
7,40.5453,2.55463,3.14597,1.39713,0,0,0,0,nan,nan,nan,0.00190159,0.00190159,0.00190159
8,41.5798,2.50511,2.67583,1.35972,0,0,0,0,nan,nan,nan,0.0019538,0.0019538,0.0019538
9,42.603,2.61433,2.59466,1.5319,0,0,0,0,nan,nan,nan,0.0019472,0.0019472,0.0019472
10,43.6467,2.46169,2.7191,1.49652,0,0,0,0,nan,nan,nan,0.0019406,0.0019406,0.0019406
11,44.6612,2.5451,2.44717,1.40172,0,0,0,0,nan,nan,nan,0.001934,0.001934,0.001934
12,45.7131,2.58301,2.26745,1.45028,0,0,0,0,nan,nan,nan,0.0019274,0.0019274,0.0019274
13,46.768,2.29545,1.88972,1.42384,0,0,0,0,8e-05,507.668,0.02395,0.0019208,0.0019208,0.0019208
14,47.8467,2.64721,1.8953,1.42739,0,0,0,0,1e-05,1.8844,0.00076,0.0019142,0.0019142,0.0019142
15,48.8808,2.41372,1.76714,1.2868,0,0,0,0,2e-05,0.54287,0.00112,0.0019076,0.0019076,0.0019076
16,49.9207,2.69381,2.30764,1.44655,0,0,0,0,1e-05,0.18345,0.00037,0.001901,0.001901,0.001901
17,50.9594,2.71698,2.41436,1.37281,0,0,0,0,nan,nan,nan,0.0018944,0.0018944,0.0018944
18,51.9806,2.17073,2.08701,1.21743,0,0,0,0,nan,nan,nan,0.0018878,0.0018878,0.0018878
19,52.9829,2.40722,2.18781,1.3138,0,0,0,0,nan,nan,nan,0.0018812,0.0018812,0.0018812
20,54.0124,2.23667,1.85427,1.34932,0,0,0,0,nan,nan,nan,0.0018746,0.0018746,0.0018746
21,55.051,2.18926,1.60219,1.20338,0,0,0,0,1e-05,nan,0.00019,0.001868,0.001868,0.001868
22,56.1476,2.22755,1.66609,1.20021,0.91472,0.2,0.355,0.13997,2.31651,6.42491,1.58081,0.0018614,0.0018614,0.0018614
23,57.2906,2.223,2.02696,1.26231,0.9701,0.6,0.66377,0.24369,2.54365,3.15789,1.37244,0.0018548,0.0018548,0.0018548
24,58.4792,2.03105,1.75982,1.21395,0.51001,0.7,0.59626,0.25693,2.26157,18.0634,1.29381,0.0018482,0.0018482,0.0018482
25,59.6588,2.25686,1.8208,1.20881,0.76394,0.2,0.21136,0.14123,2.00779,11.468,1.32085,0.0018416,0.0018416,0.0018416
26,60.7231,2.2987,1.84815,1.34867,0.86763,0.2,0.24278,0.11632,2.91025,8.5457,1.60526,0.001835,0.001835,0.001835
27,61.7705,2.4265,1.80903,1.3268,0.4044,0.2,0.23373,0.08985,3.29598,21.2035,1.86365,0.0018284,0.0018284,0.0018284
28,62.8505,2.36544,2.06914,1.2945,0.31893,0.46974,0.34929,0.19562,1.7822,7.77772,1.71598,0.0018218,0.0018218,0.0018218
29,63.8981,2.0219,1.73805,1.26001,0.17503,0.8,0.31091,0.08255,2.59726,10.0925,1.69638,0.0018152,0.0018152,0.0018152
30,64.9552,2.05088,1.70446,1.08621,0.92478,0.6,0.68557,0.18103,2.2045,4.73026,1.32625,0.0018086,0.0018086,0.0018086
31,66.0115,2.09179,1.65599,1.16366,0.73487,0.6,0.63075,0.27108,2.37696,10.5601,1.32321,0.001802,0.001802,0.001802
32,67.1829,2.40282,1.93745,1.26123,0.49677,0.6,0.46962,0.16852,2.47165,8.19266,1.42124,0.0017954,0.0017954,0.0017954
33,68.2671,2.30124,1.62493,1.33094,0.57433,0.6,0.52733,0.14334,2.46474,6.53834,1.5338,0.0017888,0.0017888,0.0017888
34,69.3289,2.13704,1.89189,1.28867,0.74064,0.7,0.6542,0.16829,2.0309,7.98343,1.33013,0.0017822,0.0017822,0.0017822
35,70.3933,2.23696,1.77703,1.27477,0.28736,0.5,0.43396,0.19129,1.83057,10.4069,1.16421,0.0017756,0.0017756,0.0017756
36,71.4781,2.1009,1.72591,1.2658,0.37932,0.7,0.46517,0.23776,1.9554,8.38002,1.24096,0.001769,0.001769,0.001769
37,72.5542,2.3134,1.59924,1.28526,0.57919,0.4,0.42219,0.19292,2.26896,4.23469,1.40499,0.0017624,0.0017624,0.0017624
38,73.6012,1.97067,1.60739,1.1478,0.61453,0.3,0.35549,0.1069,2.15962,3.8941,1.32894,0.0017558,0.0017558,0.0017558
39,74.6351,1.98259,1.66219,1.16314,0.58405,0.7,0.53131,0.19043,2.15099,3.13421,1.29199,0.0017492,0.0017492,0.0017492
40,75.7173,1.90509,1.42376,1.16445,0.93668,0.4,0.63052,0.22408,2.34262,2.41973,1.32092,0.0017426,0.0017426,0.0017426
41,76.7719,1.79838,1.67911,1.01782,0.64685,0.8,0.67119,0.27962,2.36859,1.81722,1.32121,0.001736,0.001736,0.001736
42,78.1039,2.33123,1.58536,1.27579,0.59448,0.8,0.66521,0.2255,2.05935,1.84697,1.26994,0.0017294,0.0017294,0.0017294
43,79.1335,2.13998,1.43584,1.15238,0.56822,0.8,0.66275,0.26275,2,1.48923,1.20878,0.0017228,0.0017228,0.0017228
44,80.2107,2.2465,1.71849,1.27381,0.66292,0.6,0.54928,0.22612,1.94333,1.85216,1.30897,0.0017162,0.0017162,0.0017162
45,81.2851,1.99859,1.81461,1.27898,0.95853,0.7,0.7077,0.21269,2.275,2.14655,1.37877,0.0017096,0.0017096,0.0017096
46,82.4024,1.7435,1.57922,1.11735,0.89605,0.9,0.89763,0.25904,2.08958,1.8519,1.23897,0.001703,0.001703,0.001703
47,83.491,1.913,1.38135,1.10733,0.67456,0.7,0.77487,0.30371,1.9554,3.34878,1.19552,0.0016964,0.0016964,0.0016964
48,84.6975,1.87666,1.29429,1.11569,0.65713,0.6,0.59378,0.29576,1.96963,7.04617,1.19179,0.0016898,0.0016898,0.0016898
