epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.8982,2.36886,7.39021,1.54747,0.06851,0.21987,0.07127,0.03496,1.80279,24.1242,1.6769,0.000463798,0.000463798,0.000463798
2,46.8031,2.12755,3.19718,1.63179,0,0,0,0,3.79674,23346.9,135.062,0.000937029,0.000937029,0.000937029
3,49.3381,2.2188,2.89266,1.75877,0,0,0,0,3.97074,13424.5,58.7497,0.00140712,0.00140712,0.00140712
4,51.6513,2.26806,2.75998,1.78929,0.00862,0.72727,0.00815,0.00388,1.96957,342.839,2.15548,0.00141485,0.00141485,0.00141485
5,53.9763,2.1619,2.59044,1.72501,0.00018,0.15152,0.00011,6e-05,3.81729,40135.8,279.32,0.00141014,0.00141014,0.00141014
6,56.1669,2.05697,2.05892,1.58757,0,0,0,0,0.79151,26862.3,19.8628,0.00140542,0.00140542,0.00140542
7,58.3892,1.98705,1.96625,1.53287,0.22319,0.06323,0.0561,0.0315,3.57194,23.6056,4.25827,0.00140071,0.00140071,0.00140071
8,60.5987,1.9843,1.90051,1.53478,0,0,0,0,3.97431,1066.92,29.6811,0.00139599,0.00139599,0.00139599
9,62.8353,1.89402,1.69195,1.52069,0,0,0,0,4.25871,9.68809,31.3874,0.00139127,0.00139127,0.00139127
10,65.0577,1.7966,1.80287,1.44881,0.13726,0.16498,0.10852,0.04354,2.68867,3.03567,2.21176,0.00138656,0.00138656,0.00138656
11,67.4781,1.91247,1.74251,1.50063,0.44753,0.63908,0.5886,0.31015,1.48628,1.70159,1.51102,0.00138184,0.00138184,0.00138184
12,69.857,1.90844,1.66609,1.5504,0.55843,0.80801,0.70771,0.38153,1.41577,1.79351,1.49573,0.00137713,0.00137713,0.00137713
13,72.3504,1.7072,1.57202,1.38678,0.71329,0.49607,0.69348,0.3613,1.61451,1.65845,1.58575,0.00137241,0.00137241,0.00137241
14,74.5555,1.74484,1.55066,1.47307,0.39825,0.79349,0.65608,0.33901,1.49683,1.7416,1.49816,0.0013677,0.0013677,0.0013677
15,76.8138,1.66379,1.41354,1.32869,0.61317,0.69473,0.76821,0.43036,1.4374,1.39331,1.5082,0.00136298,0.00136298,0.00136298
16,79.3645,1.58777,1.40542,1.29194,0.42471,0.80696,0.65638,0.35024,1.46194,1.98875,1.44541,0.00135826,0.00135826,0.00135826
17,81.709,1.539,1.36402,1.33541,0.70712,0.81254,0.86322,0.47183,1.39763,1.79568,1.46148,0.00135355,0.00135355,0.00135355
18,84.1051,1.58807,1.40125,1.37349,0.61718,0.77789,0.75862,0.37633,1.37126,1.42214,1.45661,0.00134883,0.00134883,0.00134883
19,86.3201,1.53605,1.2374,1.31077,0.71321,0.70146,0.77576,0.43623,1.36977,1.19763,1.48754,0.00134412,0.00134412,0.00134412
20,88.5847,1.59619,1.3219,1.39596,0.70919,0.69043,0.81119,0.47514,1.30793,1.54259,1.35745,0.0013394,0.0013394,0.0013394
21,90.9508,1.45852,1.28854,1.26352,0.6487,0.76319,0.74425,0.44976,1.34504,1.36409,1.37556,0.00133469,0.00133469,0.00133469
22,93.1861,1.51887,1.21769,1.261,0.63081,0.68742,0.65082,0.32087,1.52985,1.44083,1.54416,0.00132997,0.00132997,0.00132997
23,95.3499,1.45827,1.19651,1.26472,0.74942,0.78014,0.84309,0.50497,1.36827,1.16039,1.41849,0.00132525,0.00132525,0.00132525
24,97.7457,1.58878,1.23596,1.30956,0.70898,0.83502,0.86067,0.57033,1.16114,1.2295,1.326,0.00132054,0.00132054,0.00132054
25,100.115,1.50169,1.20473,1.27321,0.78313,0.73625,0.86091,0.53121,1.22956,1.20127,1.34642,0.00131582,0.00131582,0.00131582
26,102.568,1.54683,1.15321,1.32315,0.74436,0.76749,0.83041,0.46686,1.37443,1.24942,1.43319,0.00131111,0.00131111,0.00131111
27,104.993,1.47288,1.44309,1.2657,0.66095,0.85443,0.84783,0.51568,1.26093,1.16311,1.35025,0.00130639,0.00130639,0.00130639
28,107.385,1.51352,1.28011,1.29089,0.50611,0.88777,0.83375,0.46609,1.37024,1.2436,1.42902,0.00130168,0.00130168,0.00130168
29,109.745,1.44263,1.10501,1.27404,0.72751,0.87947,0.81956,0.50411,1.30565,1.15504,1.33318,0.00129696,0.00129696,0.00129696
30,112.251,1.45319,1.13369,1.26736,0.83831,0.7991,0.88368,0.53048,1.29934,1.12405,1.39215,0.00129224,0.00129224,0.00129224
31,114.857,1.42263,1.11908,1.27706,0.83803,0.65459,0.85905,0.51586,1.32974,1.45783,1.34889,0.00128753,0.00128753,0.00128753
32,117.164,1.332,1.07021,1.1815,0.687,0.79125,0.90356,0.56619,1.25596,1.02981,1.32619,0.00128281,0.00128281,0.00128281
33,119.366,1.37417,1.11801,1.18906,0.65367,0.91021,0.8205,0.54775,1.22331,1.00674,1.31197,0.0012781,0.0012781,0.0012781
34,121.637,1.3431,1.04207,1.21962,0.78311,0.92145,0.90322,0.57836,1.17226,1.0689,1.27753,0.00127338,0.00127338,0.00127338
35,124.147,1.37137,1.09949,1.24261,0.74968,0.87671,0.89895,0.58811,1.20662,0.95417,1.27374,0.00126867,0.00126867,0.00126867
36,126.815,1.39323,1.06249,1.2386,0.8149,0.81228,0.9089,0.57892,1.23544,1.04083,1.29706,0.00126395,0.00126395,0.00126395
37,129.044,1.34372,1.06751,1.17388,0.59018,0.80851,0.75684,0.46253,1.32321,1.15534,1.36761,0.00125923,0.00125923,0.00125923
38,131.238,1.32857,0.97338,1.2625,0.78851,0.93967,0.90878,0.5951,1.2562,0.98616,1.32748,0.00125452,0.00125452,0.00125452
39,133.653,1.28376,1.00686,1.21043,0.88189,0.89191,0.93813,0.60826,1.32125,1.10998,1.34592,0.0012498,0.0012498,0.0012498
40,136.042,1.2955,0.98491,1.19007,0.794,0.82043,0.90051,0.61342,1.23449,0.96566,1.31028,0.00124509,0.00124509,0.00124509
41,138.393,1.27954,0.95329,1.15251,0.84001,0.89983,0.94749,0.62927,1.23143,0.93328,1.32561,0.00124037,0.00124037,0.00124037
42,140.717,1.40869,0.99813,1.22256,0.89346,0.89562,0.92367,0.58775,1.32862,1.04286,1.36366,0.00123566,0.00123566,0.00123566
43,142.94,1.38525,1.04155,1.29465,0.94691,0.81945,0.94343,0.6417,1.2218,0.89716,1.27287,0.00123094,0.00123094,0.00123094
44,145.406,1.28399,0.96219,1.14117,0.89389,0.80775,0.92823,0.62846,1.18424,0.91464,1.27291,0.00122622,0.00122622,0.00122622
45,147.678,1.27543,0.90395,1.19892,0.83491,0.91021,0.95456,0.63919,1.16417,0.89213,1.26119,0.00122151,0.00122151,0.00122151
46,150.006,1.26572,0.92822,1.16952,0.90497,0.9134,0.94088,0.61117,1.22581,0.99867,1.2854,0.00121679,0.00121679,0.00121679
47,152.282,1.23846,0.85967,1.11944,0.87582,0.90289,0.93421,0.599,1.28405,0.95073,1.32004,0.00121208,0.00121208,0.00121208
48,154.541,1.23619,0.864,1.11665,0.8695,0.87334,0.95426,0.63973,1.14206,0.82615,1.2448,0.00120736,0.00120736,0.00120736
49,156.625,1.27364,0.9049,1.15507,0.91457,0.84733,0.9385,0.63184,1.10973,0.94585,1.22297,0.00120265,0.00120265,0.00120265
50,158.992,1.24769,0.87824,1.18378,0.90375,0.93176,0.95559,0.6639,1.17356,0.91837,1.23793,0.00119793,0.00119793,0.00119793
51,161.542,1.36021,0.91208,1.18483,0.94411,0.85533,0.94902,0.59763,1.17099,0.87339,1.24844,0.00119322,0.00119322,0.00119322
52,163.839,1.25149,0.87182,1.1823,0.86566,0.94765,0.95882,0.63259,1.17227,0.8679,1.2653,0.0011885,0.0011885,0.0011885
53,166.096,1.267,0.8761,1.16599,0.88194,0.91247,0.95393,0.69238,1.18144,0.86305,1.25979,0.00118378,0.00118378,0.00118378
54,168.514,1.2193,0.80493,1.1173,0.83104,0.86824,0.89041,0.59305,1.17711,0.8784,1.24564,0.00117907,0.00117907,0.00117907
55,170.847,1.28211,0.87743,1.16225,0.94944,0.88215,0.95305,0.59657,1.19253,0.92723,1.26996,0.00117435,0.00117435,0.00117435
56,173.183,1.32481,1.02132,1.1954,0.561,0.20611,0.22781,0.14507,2.4312,4.2631,2.34951,0.00116964,0.00116964,0.00116964
57,175.446,1.20351,0.86942,1.14725,0.83909,0.68575,0.72023,0.45097,1.51622,1.59702,1.50115,0.00116492,0.00116492,0.00116492
58,177.702,1.25972,0.95712,1.16655,0.94564,0.91692,0.96506,0.69949,1.05549,0.77937,1.21501,0.00116021,0.00116021,0.00116021
59,180.186,1.15474,0.80288,1.13547,0.80798,0.91807,0.94273,0.66542,1.06837,0.83061,1.18203,0.00115549,0.00115549,0.00115549
60,182.499,1.20644,0.82611,1.14085,0.85022,0.85639,0.89585,0.56924,1.15481,0.80786,1.27303,0.00115077,0.00115077,0.00115077
61,184.756,1.24216,0.84249,1.11589,0.71521,0.88027,0.88573,0.58982,1.12789,0.8804,1.24942,0.00114606,0.00114606,0.00114606
62,186.976,1.32252,0.90552,1.18659,0.87697,0.92415,0.93847,0.65995,1.06652,0.86106,1.22626,0.00114134,0.00114134,0.00114134
63,189.184,1.18028,0.79794,1.13207,0.831,0.91807,0.91094,0.67761,1.12806,0.923,1.26409,0.00113663,0.00113663,0.00113663
64,191.479,1.19296,0.84178,1.11771,0.89504,0.89338,0.95291,0.66153,1.12725,0.89548,1.24364,0.00113191,0.00113191,0.00113191
65,193.717,1.18063,0.83001,1.12291,0.90235,0.82481,0.94267,0.65884,1.11633,0.97573,1.21645,0.0011272,0.0011272,0.0011272
66,195.967,1.26851,0.9,1.20553,0.86905,0.9023,0.93618,0.64363,1.12514,0.90573,1.22734,0.00112248,0.00112248,0.00112248
67,198.191,1.18116,0.80528,1.11233,0.92871,0.91582,0.96945,0.70352,1.06456,0.83232,1.19989,0.00111776,0.00111776,0.00111776
68,200.541,1.1586,0.85336,1.0994,0.93806,0.9352,0.96732,0.62855,1.22357,0.84715,1.28276,0.00111305,0.00111305,0.00111305
69,202.704,1.14342,0.77846,1.12751,0.96073,0.91935,0.97563,0.67393,1.12634,0.79667,1.21241,0.00110833,0.00110833,0.00110833
70,204.897,1.16784,0.83358,1.11725,0.93736,0.87973,0.95559,0.67846,1.10614,0.80458,1.20971,0.00110362,0.00110362,0.00110362
71,207.127,1.14594,0.81092,1.0938,0.95223,0.94052,0.97554,0.65782,1.14853,0.75611,1.23122,0.0010989,0.0010989,0.0010989
72,209.383,1.22279,0.83638,1.17192,0.87142,0.89113,0.94449,0.67609,1.08755,0.80771,1.20193,0.00109419,0.00109419,0.00109419
73,211.713,1.14237,0.80803,1.08308,0.87935,0.88982,0.94335,0.65832,1.12497,0.88159,1.21381,0.00108947,0.00108947,0.00108947
74,214.016,1.13122,0.76784,1.12141,0.93025,0.8091,0.85103,0.59809,1.13403,0.93751,1.24564,0.00108475,0.00108475,0.00108475
75,216.309,1.1679,0.8763,1.16072,0.87342,0.72615,0.77065,0.52581,1.30929,1.00624,1.30224,0.00108004,0.00108004,0.00108004
76,218.681,1.16134,0.7973,1.13965,0.89106,0.80246,0.92403,0.63559,1.18651,0.80468,1.27893,0.00107532,0.00107532,0.00107532
77,220.997,1.18427,0.80346,1.11582,0.92103,0.90443,0.95605,0.66029,1.11636,0.77309,1.22985,0.00107061,0.00107061,0.00107061
78,223.252,1.15575,0.77151,1.11193,0.90586,0.91645,0.96046,0.69768,1.06858,0.73856,1.17316,0.00106589,0.00106589,0.00106589
79,225.662,1.10952,0.71894,1.13504,0.96356,0.91757,0.97808,0.67314,1.14503,0.73106,1.23354,0.00106118,0.00106118,0.00106118
80,228.072,1.16983,0.78526,1.10049,0.92035,0.9417,0.97233,0.64595,1.07899,0.74579,1.20299,0.00105646,0.00105646,0.00105646
81,230.437,1.11963,0.75617,1.09391,0.88366,0.91797,0.94409,0.66637,1.12496,0.85478,1.24587,0.00105174,0.00105174,0.00105174
82,232.805,1.16273,0.76456,1.10778,0.90499,0.89135,0.94714,0.6766,1.05139,0.76501,1.18409,0.00104703,0.00104703,0.00104703
83,235.129,1.09444,0.74774,1.08419,0.86629,0.90797,0.94385,0.62624,1.07153,0.82538,1.2094,0.00104231,0.00104231,0.00104231
84,237.376,1.10859,0.73718,1.09388,0.91848,0.92557,0.97323,0.66449,1.06667,0.80205,1.18877,0.0010376,0.0010376,0.0010376
